"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 25 00:46:21 TRT 2024","Fri Oct 25 00:47:53 TRT 2024","91884","","7-Sepeti Boşalt","","7-Sepeti Boşalt","Sepeti Boşalt Fonksiyonu","Sepeti Boşalt Fonksiyonu",""
"passed","Fri Oct 25 00:43:33 TRT 2024","Fri Oct 25 00:44:59 TRT 2024","85259","","5-Ürün arama ve sepete ekleme","","5-Ürün arama ve sepete ekleme","Ürün arama ve sepete ekleme {""urun"":""Yumurta"",""index"":""2""}","Ürün arama ve sepete ekleme {""urun"":""Yumurta"",""index"":""2""}",""
"passed","Fri Oct 25 00:31:23 TRT 2024","Fri Oct 25 00:33:23 TRT 2024","120330","","4-Urunlerin Kategorisel Aranması","","4-Urunlerin Kategorisel Aranması","Urunlerin Kategorisel Aranması {""Kategori"":""Meyve, Sebze"",""AltKategori"":""Meyve""}","Urunlerin Kategorisel Aranması {""Kategori"":""Meyve, Sebze"",""AltKategori"":""Meyve""}",""
"passed","Fri Oct 25 00:34:37 TRT 2024","Fri Oct 25 00:35:47 TRT 2024","70222","","4-Urunlerin Kategorisel Aranması","","4-Urunlerin Kategorisel Aranması","Urunlerin Kategorisel Aranması {""Kategori"":""Bebek Dünyası"",""AltKategori"":""Bebek Bezi, Islak Havlu, Alt Açma""}","Urunlerin Kategorisel Aranması {""Kategori"":""Bebek Dünyası"",""AltKategori"":""Bebek Bezi, Islak Havlu, Alt Açma""}",""
"passed","Fri Oct 25 00:33:24 TRT 2024","Fri Oct 25 00:34:36 TRT 2024","71635","","4-Urunlerin Kategorisel Aranması","","4-Urunlerin Kategorisel Aranması","Urunlerin Kategorisel Aranması {""Kategori"":""Süt, Kahvaltılık"",""AltKategori"":""Peynir""}","Urunlerin Kategorisel Aranması {""Kategori"":""Süt, Kahvaltılık"",""AltKategori"":""Peynir""}",""
"passed","Fri Oct 25 00:39:14 TRT 2024","Fri Oct 25 00:40:39 TRT 2024","85232","","5-Ürün arama ve sepete ekleme","","5-Ürün arama ve sepete ekleme","Ürün arama ve sepete ekleme {""urun"":""Domates"",""index"":""2""}","Ürün arama ve sepete ekleme {""urun"":""Domates"",""index"":""2""}",""
"passed","Fri Oct 25 00:37:50 TRT 2024","Fri Oct 25 00:39:13 TRT 2024","82981","","5-Ürün arama ve sepete ekleme","","5-Ürün arama ve sepete ekleme","Ürün arama ve sepete ekleme {""urun"":""Tavuk"",""index"":""2""}","Ürün arama ve sepete ekleme {""urun"":""Tavuk"",""index"":""2""}",""
"passed","Fri Oct 25 00:29:57 TRT 2024","Fri Oct 25 00:31:22 TRT 2024","84361","","3-Kampanyalarım-Devam eden ve tamamlanan kamoanyalar sayfaları","","3-Kampanyalarım-Devam eden ve tamamlanan kamoanyalar sayfaları","Devam eden ve tamamlanan kampanyalar sayfaları","Devam eden ve tamamlanan kampanyalar sayfaları",""
"passed","Fri Oct 25 00:35:49 TRT 2024","Fri Oct 25 00:37:49 TRT 2024","119946","","4-Urunlerin Kategorisel Aranması","","4-Urunlerin Kategorisel Aranması","Urunlerin Kategorisel Aranması {""Kategori"":""Ev, Yaşam"",""AltKategori"":""Hırdavat, Aydınlatma ve Piller""}","Urunlerin Kategorisel Aranması {""Kategori"":""Ev, Yaşam"",""AltKategori"":""Hırdavat, Aydınlatma ve Piller""}",""
"passed","Fri Oct 25 00:28:30 TRT 2024","Fri Oct 25 00:29:56 TRT 2024","86571","","2-Profilim Kontrolleri ve Çıkış","","2-Profilim Kontrolleri ve Çıkış","Proilim ve Çıkış","Proilim ve Çıkış",""
"passed","Fri Oct 25 00:42:06 TRT 2024","Fri Oct 25 00:43:32 TRT 2024","86452","","5-Ürün arama ve sepete ekleme","","5-Ürün arama ve sepete ekleme","Ürün arama ve sepete ekleme {""urun"":""Makarna"",""index"":""2""}","Ürün arama ve sepete ekleme {""urun"":""Makarna"",""index"":""2""}",""
"passed","Fri Oct 25 00:40:40 TRT 2024","Fri Oct 25 00:42:05 TRT 2024","84172","","5-Ürün arama ve sepete ekleme","","5-Ürün arama ve sepete ekleme","Ürün arama ve sepete ekleme {""urun"":""Simit"",""index"":""1""}","Ürün arama ve sepete ekleme {""urun"":""Simit"",""index"":""1""}",""
"passed","Fri Oct 25 00:27:30 TRT 2024","Fri Oct 25 00:28:29 TRT 2024","58111","","1-Login","","1-Login","Login","Login",""
"passed","Fri Oct 25 00:45:00 TRT 2024","Fri Oct 25 00:46:20 TRT 2024","80386","","6-Sepetim Sayfası @current","","6-Sepetim Sayfası @current","Sepetim Sayfası","Sepetim Sayfası",""
